base	number	argnum	definition	note	definition_fin	note_fin
kiirehtää	1	2	Place, where arg0 hurries to	NULL	Paikka, johon arg0 kiiruhtaa	NULL
kiistellä	1	0	Entity arguing	NULL	Kiistelevä taho	NULL
kiistellä	1	1	Target	NULL	Aihe	NULL
kiistää	1	0	Entity denying	None	Taho, joka kieltää	None
kiistää	1	1	Thing denied	None	Asia, joka kielletään	None
kiitellä	1	0	Entity thanking	NULL	Taho, joka kiittää	NULL
kiitellä	1	1	Entity or thing thanked	NULL	Taho tai asia, jota kiitetään	NULL
kiitellä	1	2	Reason for thanks	NULL	Syy kiitokselle	NULL
kiittää	1	0	Entity thanking	NULL	Taho, joka kiittää	NULL
kiittää	1	1	Entity or thing thanked	NULL	Taho tai asia, jota kiitetään	NULL
kiittää	1	2	Reason for thanks	NULL	Syy kiitokselle	NULL
kiitää	1	0	Entity moving fast	NULL	Taho, joka liikkuu nopeasti	NULL
kiitää	1	1	Thing moving fast	If not arg0	Asia, joka liikkuu nopeasti	Jos ei arg0
kiivetä	1	0	Entity who climbs	NULL	Taho, joka kiipeää	NULL
kiivetä	1	1	Thing which climbs	NULL	Asia, joka kiipeää	NULL
kiivetä	1	2	Path	NULL	Reitti	NULL
kilistä	1	1	Thing rattling	NULL	Esine, joka kilisee	NULL
kiljua	1	0	Entity screaming	NULL	Taho, joka huutaa	NULL
kiljua	1	1	Utterance	NULL	Huudettu viesti	NULL
kiljua	1	2	Hearer	NULL	Kuulija	NULL
kilpailla	1	0	Entity or thing competing	NULL	Taho tai asia, joka kilpailee	NULL
kilpailla	1	1	Opponent	NULL	Vastustaja	NULL
kilpailla	1	2	Prize	NULL	Palkinto	NULL
kimaltaa	1	0	Entity that shines	NULL	Asia tai taho joka loistaa	NULL
kimaltaa	1	1	Light or other substance shined	Can be metaphorical	Valo tai muu asia, jota loistetaan	Voi olla kuvainnollinen
kimaltaa	1	2	Entity illuminated	NULL	Asia tai taho, joka valaistaan	NULL
kimpaantua	1	0	Entity getting angry	NULL	Kimpaantuva taho	NULL
kimpaantua	1	1	Subject	NULL	Aihe	NULL
kipeillä	1	1	Entity or thing being sick/painful	E.g. a person or a knee	Taho tai asia, joka kipeilee	Esim. henkilö tai polvi
kipittää	1	0	Creature running, agent	NULL	Olio, joka juoksee, agentti	NULL
kipittää	1	2	EXT, distance	NULL	EXT, matka	NULL
kipittää	1	3	Start point	NULL	Alkupiste	NULL
kipittää	1	4	End point	NULL	Loppupiste	NULL
kiristellä	1	0	Entity tightening	NULL	Taho, joka kiristää	NULL
kiristellä	1	1	Thing tightened	NULL	Asia, jota kiristetään	NULL
kiristyä	1	1	Thing tightening	NULL	Asia, joka kiristyy	NULL
kiristää	1	0	Entity tightening	NULL	Taho, joka kiristää	NULL
kiristää	1	1	Thing tightened	NULL	Asia, jota kiristetään	NULL
kiriä	1	0	Entity pulling ahead	NULL	Taho, joka kirii ohi	NULL
kiriä	1	1	Entity went past	NULL	Taho, jonka edelle mennään	NULL
kiriä	2	0	Entity catching up	NULL	Taho, joka kirii kiinni	NULL
kiriä	2	1	Entity caught up with	NULL	Taho, joka kiritään kiinni	NULL
kirjata	1	0	Entity registering	NULL	Taho, joka kirjaa jotain	NULL
kirjata	1	1	Thing registered	NULL	Kirjattu asia	NULL
kirjata	1	2	Registered with or for	NULL	Mihin tai millä kirjattu	NULL
kirjata	1	3	Secondary predication	(tags:rare)	Toissijainen määre	NULL
kirjoitella	1	0	Entity who writes	NULL	Taho, joka kirjoittaa	NULL
kirjoitella	1	1	Thing written	NULL	Kirjoitettu asia	NULL
kirjoitella	1	2	Entity arg1 is written for	NULL	Taho, jolle arg1 on kirjoitettu	NULL
kirjoittaa	1	0	Entity who writes	NULL	Taho, joka kirjoittaa	NULL
kirjoittaa	1	1	Thing written	NULL	Kirjoitettu asia	NULL
kirjoittaa	1	2	Entity arg1 is written for	NULL	Taho, jolle arg1 on kirjoitettu	NULL
kirjoittaa	1	3	Topic	NULL	Aihe	NULL
kirjoituttaa	1	0	Entity registering	NULL	Taho, joka kirjaa jotain	NULL
kirjoituttaa	1	1	Thing registered	NULL	Kirjattu asia	NULL
kirjoituttaa	1	2	Registered with or for	NULL	Mihin tai millä kirjattu	NULL
kirjoituttaa	1	3	Secondary predication	(tags:rare)	Toissijainen määre	NULL
kirkua	1	0	Entity screaming	NULL	Taho, joka huutaa	NULL
kirkua	1	1	Utterance	NULL	Huudettu viesti	NULL
kirkua	1	2	Hearer	NULL	Kuulija	NULL
kiroilla	1	0	Entity swearing	NULL	Taho, joka kiroilee	NULL
kirota	1	0	Entity swearing	NULL	Taho, joka kiroilee	NULL
kirota	2	0	Entity cursing	NULL	Taho, joka kiroaa	NULL
kirota	2	1	Thing cursed	NULL	Asia, jota kirotaan	NULL
kirvellä	1	0	Thing causing pain	Causer	Asia, joka aiheuttaa kipua	Aiheuttaja
kirvellä	1	1	Entity experiencing pain or exact location of pain	E.g. "it pricked me" or "it pricked my eyes"	Taho, joka kokee kipua tai kivun tarkka paikka	Esim. "se kirveli minua" tai "se kirveli silmiäni"
kirvoittaa	1	0	Causer of loosening	Causer	Asia, joka aiheuttaa arg1:n	Aiheuttaja
kirvoittaa	1	1	Thing loosened	NULL	Asia, joka saadaan aikaan	NULL
kiskoa	1	0	Entity causing change of location	NULL	Paikkamuutoksen aiheuttava taho	NULL
kiskoa	1	1	Entity moved	NULL	Siirrettävä asia	NULL
kiskoa	1	2	DIR	direction or goal	DIR	suunta tai päätepiste
kiskoa	2	0	Creature consuming substance	NULL	Olio, joka nauttii ainetta	NULL
kiskoa	2	1	Substance consumed	Note: can be air	Nautittava aine	Voi olla ilmaa
kismittää	1	1	Thing or matter bothering	NULL	Asia, joka harmittaa	NULL
kismittää	1	2	Experiencer	NULL	Kokija, taho, jota harmittaa	NULL
kiteytyä	1	1	Thing crystallizing	NULL	Asia, joka kiteytyy	NULL
kiteytyä	1	2	Result	NULL	Lopputulos	NULL
kitistä	1	0	Entity complaining	NULL	Taho, joka valittaa	NULL
kitistä	1	1	Cause of complain	NULL	Valituksen syy	NULL
kitistä	1	2	Hearer of complaint	NULL	Valituksen kuulija	NULL
kitkeä	1	0	Entity who weeds	NULL	Taho, joka kitkee	NULL
kitkeä	1	1	Thing weed	NULL	Asia, jota kitketään	NULL
kitkeä	1	2	Area	NULL	Alue, joka kitketään	NULL
kitkutella	1	0	Entity just coming by	NULL	Taho, joka juuri ja juuri tulee toimeen	NULL
kitkutella	1	2	Thing come by with	Usually money	Asia, jolla tullaan toimeen	Yleensä raha
kiukustua	1	0	Experiencer	NULL	Kokija	NULL
kiukustua	1	1	Target of emotion	NULL	Tunteen kohde	NULL
kiukutella	1	0	Entity throwing a tantrum	NULL	Taho, joka kiukuttelee	NULL
kiukutella	1	1	Reason	NULL	Syy	NULL
kiusoitella	1	0	Entity teasing	NULL	Taho, joka kiusaa	NULL
kiusoitella	1	1	Entity teased	NULL	Taho, jota kiusataan	NULL
kiusoitella	1	2	About what	NULL	Mistä syystä	NULL
kivittää	1	0	Entity throwing stones	NULL	Taho, joka heittää kiviä	NULL
kivittää	1	1	Target	NULL	Kohde	NULL
klompsuttaa	1	0	Entity who walks	NULL	Taho, joka kävelee	NULL
klompsuttaa	1	1	Path walked. Not DIR!	NULL	Kävelty polku, reitti. Ei DIR!	NULL
koetella	1	0	Entity trying somebody	NULL	Koetteleva taho	NULL
koetella	1	1	Target	NULL	Koettelemuksen kohde	NULL
koettaa	1	0	Entity trying arg1	NULL	Taho, joka kokeilee arg1:tä	NULL
koettaa	1	1	Thing tried	NULL	Kokeiltu asia	NULL
kohauttaa	1	0	Entity shrugging	NULL	Taho, joka kohauttaa	NULL
kohauttaa	1	1	thing shrugged	NULL	Asia, jota kohautetaan, yleensä olkapäät	NULL
kohauttaa	1	2	Shrugged at	NULL	Miksi kohautetaan	NULL
kohdata	1	0	Entity meeting arg1	NULL	Taho, joka kohtaa arg1:n	NULL
kohdata	1	1	Entity or thing met	NULL	Taho tai asia joka kohdataan	NULL
kohdella	1	0	Entity treating	NULL	Taho, joka kohtelee	NULL
kohdella	1	1	Entity or thing treated	NULL	Taho tai asia, jota kohdellaan	NULL
kohdella	1	2	MNR	NULL	MNR	NULL
kohdistaa	1	0	Entity directing something	NULL	Taho, joka kohdistaa jotain	NULL
kohdistaa	1	1	Thing directed	NULL	Asia, joka kohdistetaan	NULL
kohdistaa	1	2	Direction, directed to/towards	NULL	Suunta, paikka johon tai taho jolle kohdistetaan	NULL
kohdistaa	2	0	Entity directing	NULL	Taho, joka suuntaa	NULL
kohdistaa	2	1	Thing directed	NULL	Asia, jota suunnataan	NULL
kohdistaa	2	2	Direction, towards what arg1 is directed	NULL	Suunta, jota kohti arg1 on suunnattu	NULL
kohdistua	1	1	Thing focusing	NULL	Asia, joka kohdistuu	NULL
kohdistua	1	2	Where arg1 is focused	NULL	Mihin tai kehen arg1 kohdistuu	NULL
kohentaa	1	0	Entity, who improves	NULL	Taho, joka kehittää	NULL
kohentaa	1	1	Thing improving	NULL	Asia, joka kehittyy	NULL
koheta	1	1	Thing improving	NULL	Asia, joka kohenee	NULL
koheta	1	2	EXT	NULL	EXT	NULL
koheta	1	3	Start point	NULL	Lähtötila	NULL
koheta	1	4	End point	NULL	Lopputila	NULL
kohota	1	1	The entity rising	NULL	Nouseva taho	NULL
kohota	1	2	EXT	NULL	EXT	NULL
kohota	1	3	Start point	NULL	Alkupiste	NULL
kohota	1	4	End point, end state	NULL	Loppupiste, lopputila	NULL
kohota	2	1	Entity changing state	NULL	Taho, joka muuttuu	NULL
kohota	2	2	New state	NULL	Uusi tila	NULL
kohottaa	1	0	Entity lifting arg1	NULL	Taho, joka nostaa arg1:tä	NULL
kohottaa	1	1	Entity lifted	NULL	Taho, jota nostetaan	NULL
kohottaa	1	2	EXT	NULL	EXT	NULL
kohottaa	1	3	Start point	NULL	Lähtökohta	NULL
kohottaa	1	4	End point	NULL	Päätepiste	NULL
kohtuullistaa	1	0	Entity making something reasonable	NULL	Taho, joka tekee jostain kohtuullista	NULL
kohtuullistaa	1	1	Thing made reasonable	NULL	Asia, josta tehdään kohtuullista	NULL
koittaa	1	0	Entity trying arg1	NULL	Taho, joka kokeilee arg1:tä	NULL
koittaa	1	1	Thing tried	NULL	Kokeiltu asia	NULL
koittaa	2	1	Thing that arrives	NULL	Asia, joka koittaa	NULL
koitua	1	1	Thing causing something	NULL	Asia, josta koituu jotain	NULL
koitua	1	2	Thing caused	NULL	Koitunut asia	NULL
koitua	2	1	Thing turning out to be something	NULL	Asia, joka koituu joksikin	NULL
koitua	2	2	Thing arg1 turns out to be	NULL	Se, miksi arg1 koituu	NULL
koitua	3	1	Thing playing into somebody's hands	NULL	Asia, joka koituu jonkun hyödyksi	NULL
koitua	3	2	Entity who gets the benefit	NULL	Taho, joka saa hyödyn	NULL
koitua	3	3	Benefit	NULL	Hyöty	NULL
kokata	1	0	Entity making food	NULL	Taho, joka valmistaa ruokaa	NULL
kokata	1	1	Food	NULL	Ruoka	NULL
kokata	1	2	Thing of which arg1 is made, thing changed	NULL	Asia, josta arg1 on tehty, muuttuva asia	NULL
kokata	1	3	Entity to whom arg1 is made	None	Taho, jolle arg1 valmistetaan	None
kokea	1	0	Experiencer	NULL	Kokija	NULL
kokea	1	1	Thing experienced	NULL	Asia, joka koetaan (joksikin)	NULL
kokeilla	1	0	Entity trying arg1	NULL	Taho, joka kokeilee arg1:tä	NULL
kokeilla	1	1	Thing tried	NULL	Kokeiltu asia	NULL
kokoontua	1	0	Entity assembling	NULL	Kokoontuva taho	NULL
kokoontua	1	1	Theme of gathering	NULL	Kokouksen aihe tai tarkoitus	NULL
kolahtaa	1	0	Entity touching something	NULL	Taho, joka koskee johonkin	NULL
kolahtaa	1	1	Entity touched	NULL	Taho tai asia, johon kosketaan	NULL
kolahtaa	1	2	Instrument of touching	(tags: rare)	Koskettamisen väline	NULL
kolauttaa	1	0	Agent, hitter	NULL	Kolauttaja	NULL
kolauttaa	1	1	Thing hit	NULL	Kolautettu ruumiinosa	NULL
kolauttaa	1	2	instrument, thing hit by or with, target	NULL	Väline, kohde	NULL
kolkuttaa	1	1	Thing making sound	NULL	Asia, joka kolkuttaa	NULL
koluta	1	0	Entity who digs	NULL	Taho, joka penkoo	NULL
koluta	1	1	Thing rummaged	NULL	Asia, jota pengotaan	NULL
kolvata	1	0	Entity soldering	NULL	Taho, joka juottaa	NULL
kolvata	1	1	First thing soldered	NULL	Asia, joka juotetaan	NULL
kolvata	1	2	Soldered to what	NULL	Asia, johon arg1 juotetaan kiinni	NULL
kolvata	1	3	Instrument	Soldering iron	Väline	Kolvi
komentaa	1	0	Entity who orders	NULL	Taho, joka komentaa	NULL
komentaa	1	1	Entity ordered	Metaphorically thing can be ordered as well	Taho, jota komennetaan	Kuvainnollisesti myös asiaa voi komentaa
komentaa	1	2	Ordered action	NULL	Asia tai teko, johon komennetaan	NULL
komistaa	1	0	Decorator, agent	NULL	Taho, joka kaunistaa	NULL
komistaa	1	1	Entity adorned	NULL	Kaunistettu taho tai kohde	NULL
komistaa	1	2	Decoration, instrument	NULL	Sisustus tai väline	NULL
kommentoida	1	0	Entity commenting	NULL	Kommentoiva taho	NULL
kommentoida	1	1	Thing commented	NULL	Kommentoitu asia	NULL
kommentoida	1	2	Entity to whom arg3 is said	NULL	Taho, jolle arg3 sanotaan	NULL
kommentoida	1	3	Utterance	NULL	Repliikki	NULL
kompastua	1	0	Entity who trips over something	NULL	Taho, joka kompastuu	NULL
kompastua	1	1	Thing tripped over	NULL	Asia tai esine, johon kompastutaan	NULL
kompuroida	1	0	Entity who stumbles	NULL	Taho, joka kompuroi	NULL
kompuroida	1	1	Thing stumbled over	NULL	Este	NULL
konsoloida	1	0	Entity steadying	NULL	Taho, joka tasaannuttaa	NULL
konsoloida	1	1	Thing steadied	NULL	Asia, joka tasaantuu	NULL
konsultoida	1	0	Entity consulting	NULL	Taho, joka konsultoi	NULL
konsultoida	1	1	Consulted with	NULL	Taho, jonka kanssa keskustellaan	NULL
konsultoida	1	2	Topic of consulting	NULL	Konsultoinnin aihe	NULL
konvertoida	1	0	Entity converting	NULL	Taho, joka konvertoi	NULL
konvertoida	1	1	Thing changing	NULL	Asia, joka muuttuu	NULL
konvertoida	1	2	End state	NULL	Lopputila	NULL
konvertoida	1	3	Start state	NULL	Alkutila	NULL
koodata	1	0	Entity who writes a code	NULL	Taho, joka koodaa	NULL
koodata	1	1	Programme or classification	NULL	Ohjelma tai luokitus	NULL
koordinoida	1	0	Entity who organises	NULL	Taho, joka järjestelee	NULL
koordinoida	1	1	Thing or things organised	NULL	Asia tai asiat, joita järjestellään	NULL
koostaa	1	0	Entity connecting	Note! Causer even if not animate	Taho tai asia, joka yhdistää	Huom! Aiheuttaja vaikkei olisikaan elollinen
koostaa	1	1	Entity connected	NULL	Yhdistettävä asia tai olio	NULL
koostaa	1	2	Entity (arg1 is) connected to	NULL	Asia tai olio, johon (arg1) yhdistetään	NULL
koostaa	1	3	Instrument	NULL	Väline, jolla yhdistetään	NULL
koostua	1	1	Entity or thing which includes arg2	NULL	Taho tai asia, joka sisältää arg2:n	NULL
koostua	1	2	Entity or thing included in something	NULL	Taho tai asia joka sisältyy johonkin	NULL
koota	1	0	Entity causing some grouping	NULL	Taho, joka kerää jotakin yhteen	NULL
koota	1	1	Entity or thing being gathered	NULL	Taho tai asia, joka kerätään	NULL
koota	1	2	Group	if separate from arg1	Ryhmä	jos erillinen arg1:stä
koota	2	0	Entity building	NULL	Taho, joka rakentaa	NULL
koota	2	1	Thing built	NULL	Rakennettu asia	NULL
koota	2	2	Material, start state	NULL	Materiaali, alkutila	NULL
koota	2	3	End state	(tags: rare)	Lopputila	NULL
kopauttaa	1	0	Creature knocking	NULL	Olio, joka koputtaa	NULL
kopauttaa	1	1	Thing hit	E.g. a door	Asia, jota lyödään	Esim. ovi
kopauttaa	1	2	Instrument	(tags: rare)	Väline	NULL
kopioida	1	0	Entity, who copies	NULL	Taho, joka kopioi	NULL
kopioida	1	1	Thing copied	NULL	Kopioitu asia	NULL
kopitella	1	0	Entity playing ball	NULL	Taho, joka kopittelee	NULL
kopitella	1	2	Entities played with	NULL	Tahot, jonka kanssa kopitellaan	NULL
koputella	1	0	Creature knocking	NULL	Olio, joka koputtaa	NULL
koputella	1	1	Thing hit	E.g. a door	Asia, jota lyödään	Esim. ovi
koputella	1	2	Instrument	(tags: rare)	Väline	NULL
koputtaa	1	0	Creature knocking	NULL	Olio, joka koputtaa	NULL
koputtaa	1	1	Thing hit	E.g. a door	Asia, jota lyödään	Esim. ovi
koputtaa	1	2	Instrument	(tags: rare)	Väline	NULL
koristaa	1	1	Thing put as a decoration	NULL	Asia, joka on koristeena	NULL
koristaa	1	2	Place	NULL	Paikka	NULL
koristella	1	0	Entity, who decorates	NULL	Taho, joka koristelee	NULL
koristella	1	1	Thing decorated	NULL	Asia, joka koristellaan	NULL
koristella	1	2	Decorations	NULL	Koristeet	NULL
korjailla	1	0	Entity repairing something	NULL	Olio, joka paikkaa jotain	NULL
korjailla	1	1	Entity repaired	NULL	Asia, jota paikataan	NULL
korjailla	1	2	Instrument, entity with which arg1 is repaired	NULL	Väline, asia, jolla paikataan	NULL
korjata	1	0	Entity repairing something	NULL	Olio, joka paikkaa jotain	NULL
korjata	1	1	Entity repaired	NULL	Asia, jota paikataan	NULL
korjata	1	2	Instrument, entity with which arg1 is repaired	NULL	Väline, asia, jolla paikataan	NULL
korjata	2	0	Entity who harvests	NULL	Taho, joka korjaa satoa	NULL
korjata	2	1	Entity harvested	NULL	Taho tai asia, joka korjataan sadoksi	NULL
korkata	1	0	Person breaking out the bottle	NULL	Henkilö, joka avaa pullon	NULL
korkata	1	1	Bottle, drink	NULL	Pullo, juoma	NULL
korostaa	1	0	Entity who stresses	NULL	Taho, joka painottaa	NULL
korostaa	1	1	Thing stressed	NULL	Asia, jota painotetaan	NULL
korostaa	1	2	Attribute	(tags:rare)	Ominaisuus	NULL
korostua	1	1	Thing standing out	NULL	Asia, joka korostuu	NULL
korottaa	1	0	Entity lifting arg1	NULL	Taho, joka nostaa arg1:tä	NULL
korottaa	1	1	Entity lifted	NULL	Taho, jota nostetaan	NULL
korottaa	1	2	EXT	NULL	EXT	NULL
korottaa	1	3	Start point	NULL	Lähtökohta	NULL
korottaa	1	4	End point	NULL	Päätepiste	NULL
korvata	1	0	Entity replacing	NULL	Taho, joka korvaa	NULL
korvata	1	1	Entity which is replaced	NULL	Asia tai olio, joka korvataan	NULL
korvata	1	2	Entity with which arg1 is replaced	NULL	Asia tai olio, jolla arg1 korvataan	NULL
korvata	2	0	Entity compensating	NULL	Taho, joka korvaa	NULL
korvata	2	1	Thing compensated	NULL	Asia, joka/josta hyvitetään	NULL
korvata	2	2	Entity to whom arg1 is compensated	NULL	Taho, jolle arg1 korvataan	NULL
korvata	2	3	Amount paid	NULL	Maksettu määrä	NULL
kosia	1	0	Entity proposing	NULL	Taho, joka kosii	NULL
kosia	1	1	Entity proposed to	NULL	Taho, jota kositaan	NULL
koskea	1	0	Entity dealing with something	NULL	Taho, joka käsittelee jotakin, liittyy johonkin	NULL
koskea	1	1	Thing dealt with	NULL	Käsitelty asia, asia johon arg0 liittyy	NULL
koskea	2	0	Entity touching something	NULL	Taho, joka koskee johonkin	NULL
koskea	2	1	Entity touched	NULL	Taho tai asia, johon kosketaan	NULL
koskea	2	2	Instrument of touching	(tags: rare)	Koskettamisen väline	NULL
koskettaa	1	0	Entity touching something	NULL	Taho, joka koskee johonkin	NULL
koskettaa	1	1	Entity touched	NULL	Taho tai asia, johon kosketaan	NULL
koskettaa	1	2	Instrument of touching	(tags: rare)	Koskettamisen väline	NULL
kostaa	1	0	Entity avenging	NULL	Taho, joka kostaa	NULL
kostaa	1	1	Thing avenged, perceived wrong	NULL	Asia joka/josta kostetaan, mielletty vääryys	NULL
kotiuttaa	1	1	Thing brought home	NULL	Asia, joka tuodaan kotiin	NULL
kotouttaminen	1	0	Entity causing integration	NULL	Taho, joka kotouttaa	NULL
kotouttaminen	1	1	Entity integrating	NULL	Taho, joka kotoutetaan	NULL
kotoutuminen	1	1	Entity intergrating	NULL	Taho, joka kotoutuu	NULL
kouluttaa	1	0	Entity raising	NULL	Taho, joka kasvattaa	NULL
kouluttaa	1	1	Entity raised	NULL	Taho, jota kasvatetaan	NULL
kouria	1	0	Entity squeezing	NULL	Taho, joka puristaa	NULL
kouria	1	1	Thing under pressure	NULL	Asia, johon paine kohdistuu	NULL
koventaa	1	0	Entity tightening	NULL	Taho, joka koventaa	NULL
koventaa	1	1	Thing tightened	NULL	Asia, jota kovennetaan	NULL
kovettua	1	1	Thing becoming hard	NULL	Asia, joka kovettuu	NULL
kovettua	1	2	Prd	NULL	Prd	NULL
kriisiytyä	1	1	Thing that develops into a crisis	NULL	Asia, joka kriisiytyy, joka kehkeytyy kriisiksi	NULL
kritisoida	1	0	Entity criticizing	NULL	Taho, joka kritisoi	NULL
kritisoida	1	1	Entity or thing criticized	NULL	Taho tai asia, jota kritisoidaan	NULL
kritisoida	1	2	Reason for the criticism	NULL	Syy kritiikille	NULL
kruunata	1	1	Highlight	NULL	Kohokohta	NULL
kruunata	1	2	The thing or event that arg1 is the highlight of	NULL	Asia tai tapahtuma, jonka kohokohta arg1 on	NULL
kuhista	1	0	Entities bustling	NULL	Tahot, jotka vilisevät	NULL
kuhista	1	2	LOC	NULL	LOC	NULL
kuhista	2	0	Entity talking	NULL	Taho, joka puhuu	NULL
kuhista	2	1	Topic of the discussion	NULL	Keskustelun aihe	NULL
kuhista	2	2	Conversation partner	NULL	Keskustelukumppani	NULL
kuiduttaa	1	0	Entity making something smaller	NULL	Taho, joka pienentää jotain	NULL
kuiduttaa	1	1	Thing made smaller	NULL	Pienennetty asia	NULL
kuiduttaa	1	2	End state	NULL	Lopputila	NULL
kuihtua	1	1	Thing becoming withered	NULL	Asia, josta tulee kuihtunut	NULL
kuiskailla	1	0	Entity whispering arg1	NULL	Taho, joka kuiskaa arg1:n	NULL
kuiskailla	1	1	Utterance	NULL	Mitä sanotaan	NULL
kuiskailla	1	2	Entity hearing arg1	NULL	Taho, joka kuulee arg1:n	NULL
kuiskata	1	0	Entity whispering arg1	NULL	Taho, joka kuiskaa arg1:n	NULL
kuiskata	1	1	Utterance	NULL	Mitä sanotaan	NULL
kuiskata	1	2	Entity hearing arg1	NULL	Taho, joka kuulee arg1:n	NULL
kuiskia	1	0	Entity whispering arg1	NULL	Taho, joka kuiskaa arg1:n	NULL
kuiskia	1	1	Utterance	NULL	Mitä sanotaan	NULL
kuiskia	1	2	Entity hearing arg1	NULL	Taho, joka kuulee arg1:n	NULL
kuivata	1	0	Entity who dries something	NULL	Taho, joka kuivaa	NULL
kuivata	1	1	Entity dried out	NULL	Kuivumisen kohde	NULL
kuivata	1	2	Instrument	NULL	Kuivaamisen väline	NULL
kuivatella	1	0	Creature drying (off)	NULL	Olento, joka kuivattelee	NULL
kuivatella	1	1	Thing losing moisture	Usually a "-self" word	Asia, joka menettää kosteutta	Yleensä "itse"-sanan muoto
kuivattaa	1	0	Entity removing moisture	NULL	Taho, joka kuivattaa	NULL
kuivattaa	1	1	Thing losing moisture	NULL	Asia, joka kuivuu	NULL
kuivua	1	1	Thing losing moisture	NULL	Asia, joka kuivuu	NULL
kukistaa	1	0	Entity who beats someone or something	NULL	Taho joka voittaa/lyö jonkun tai jonkin	NULL
kukistaa	1	1	Entity beaten	NULL	Voitettu taho	NULL
kukistaa	1	2	Competition	(tags: rare)	Kilpailu	NULL
kukistua	1	1	Thing being overthrown	NULL	Kukistuva taho	NULL
kukkia	1	1	Flower	NULL	Kukka	NULL
kukoistaa	1	1	Thing thriving	NULL	Asia, joka kukoistaa	NULL
kukoistaa	1	2	Thrive on	NULL	Kukoistuksen syy	NULL
kuljeskella	1	0	Entity travelling, agent	NULL	Taho, joka kulkee, agentti	NULL
kuljeskella	1	2	Path, route	NULL	Polku, reitti	NULL
kuljeskella	1	3	Start point	NULL	Alkupiste	NULL
kuljeskella	1	4	End point	NULL	Päätepiste	NULL
kuljettaa	1	0	Entity transporting	Agent or causer	Taho,joka kuljettaa	Agentti tai aiheuttaja
kuljettaa	1	1	Thing transporting	If not arg0. E.g. a vechile	Asia, joka kuljettaa	Jos ei arg0. Esim. ajoneuvo
kuljettaa	1	2	Things or entities transported	NULL	Kuljetettavat tahot tai asiat	NULL
kuljettaa	1	3	Start point	NULL	Alkupiste	NULL
kuljettaa	1	4	End point	NULL	Loppupiste	NULL
kulkea	1	0	Entity travelling, agent	NULL	Taho, joka kulkee, agentti	NULL
kulkea	1	1	Thing "moving" if not arg0	E.g. "polku kulki metsässä", the path ran in the forest	Asia joka kulkee, jos ei arg0	Esim. "polku kulki metsässä"
kulkea	1	2	Path, route	NULL	Polku, reitti	NULL
kulkea	1	3	Start point	NULL	Alkupiste	NULL
kulkea	1	4	End point	NULL	Päätepiste	NULL
kullata	1	0	Decorator	NULL	Kultaaja	NULL
kullata	1	1	Thing decorated	NULL	Kullattu kohde	NULL
kullata	1	2	Decoration	NULL	Kultaus	NULL
kulminoitua	1	1	Thing culminating	NULL	Asia, joka huipentuu	NULL
kulminoitua	1	2	Culmination point	NULL	Huippukohta	NULL
kulua	1	1	Thing going/elapsing	NULL	Asia, joka kuluu	NULL
kulua	1	2	Goes/elapses to	E.g. "aika kuluu hukkaan" ("time goes to waste"), "vaate kuluu puhki" ("clothing wears out")	Asia, johon arg1 kuluu	Esim. "aika kuluu hukkaan", "vaate kuluu puhki"
kuluttaa	2	0	Entity consuming	NULL	Taho, joka kuluttaa	NULL
kuluttaa	2	1	Thing consumed	NULL	Asia, jota kulutetaan	NULL
kumartaa	1	0	Entity who bows	NULL	Taho, joka kumartaa	NULL
kumartaa	1	1	Entity bowed to	NULL	Taho, jolle kumarretaan	NULL
kumartua	1	0	Entity leaning down	NULL	Taho, joka kumartuu	NULL
kumartua	1	1	DIR	NULL	DIR	NULL
kummitella	1	0	Ghost	NULL	Kummitus	NULL
kummitella	1	2	LOC	NULL	LOC	NULL
kummitella	1	3	Experiencer of haunting	E.g. "hän kummitteli minulle" ("he haunted me") (tags: rare)	Kummittelun kokija	Esim. "hän kummitteli minulle"
kummuta	1	0	The entity rising actively, agent	NULL	Taho, joka nousee aktiivisesti, agentti	NULL
kummuta	1	1	The entity rising	If not arg0	Nouseva taho	Jos ei arg0
kummuta	1	2	EXT	NULL	EXT	NULL
kummuta	1	3	Start point	NULL	Alkupiste	NULL
kummuta	1	4	End point, end state	NULL	Loppupiste, lopputila	NULL
kumota	1	0	Entity or thing repealing	Agent or causer	Taho tai asia, joka kumoaa jotain	Agentti tai aiheuttaja
kumota	1	1	Thing repealed	NULL	Asia, joka kumotaan	NULL
kumota	2	0	Entity or thing proving arg1 untrue	Agent or causer	Taho tai asia, joka osoittaa arg1:n epätodeksi	Agentti tai aiheuttaja
kumota	2	1	Thing refuted	NULL	Epätodeksi osoitettu asia	NULL
kunnioittaa	1	0	Entity respecting	NULL	Taho, joka arvostaa	NULL
kunnioittaa	1	1	Entity or thing respected	NULL	Taho tai asia, jota arvostetaan	NULL
kunnioittaa	1	2	Secondary predicate	NULL	Toissijainen predikaatti	NULL
kunnostaa	1	0	Entity restoring something	NULL	Taho, joka kunnostaa jotakin	NULL
kunnostaa	1	1	Thing restored	NULL	Asia, joka kunnostetaan	NULL
kuohia	1	0	Entity who neuters	NULL	Taho, joka kuohii	NULL
kuohia	1	1	Entity neutered	NULL	Taho, joka kuohitaan	NULL
kuohua	1	1	Thing frothing	NULL	Asia, joka kuohuu	NULL
kuokkia	1	0	Entity gatecrashing	NULL	Kuokkavieras	NULL
