base	number	argnum	definition	note	definition_fin	note_fin
valuttaa	1	1	Thing liquid is removed from	E.g. "valuta *salaatti* vedestä" ("strain the *salad* of water")	Asia, josta neste poistuu	Esim. "valuta *salaatti* vedestä"
valuttaa	1	2	Liquid flowing away	E.g. "valuta salaatti *vedestä*" ("strain the salad of *water*") (tags: rare)	Neste, joka virtaa pois	Esim. "valuta salaatti *vedestä*"
valvoa	1	0	Person staying up	NULL	Henkilö, joka on valveilla	NULL
valvoa	2	0	Guardian	NULL	Taho, joka valvoo	NULL
valvoa	2	1	Entity being guarded	NULL	Taho, jota valvotaan	NULL
vangita	1	0	Entity who confines, agent	NULL	Taho, joka vangitsee, agentti	NULL
vangita	1	1	Entity confined	NULL	Vangittu taho	NULL
vangita	1	2	Confined to where	NULL	Minne arg1 on vangittu	NULL
vanhentua	1	1	Outdated thing	NULL	Asia, josta tulee vanhanaikainen	NULL
vanheta	1	1	Entity getting older / Thing expiring	NULL	Taho tai asia, joka vanhenee	NULL
vannoa	1	0	Swearer	NULL	Vannoja	NULL
vannoa	1	1	Promise	NULL	Lupaus	NULL
vannoa	1	2	On what	NULL	Minkä kautta (kiven ja kannon?)	NULL
vapauttaa	1	0	Entity who frees	NULL	Taho, joka vapauttaa	NULL
vapauttaa	1	1	Thing freed	NULL	Taho, joka vapautetaan, päästetään vapaaksi	NULL
vapauttaa	1	2	Place freed from, source	NULL	Paikka, josta vapaudutaan, lähtökohta	NULL
vapauttaa	2	0	Entity who diminishes or abandons restrictions	NULL	Taho, joka vähentää tai poistaa rajoituksia	NULL
vapauttaa	2	1	Restriction	NULL	Rajoitus	NULL
vapautua	1	1	Entity being released	NULL	Vapautuja	NULL
vapautua	1	2	Prison, released from	NULL	Vankila	NULL
vapista	1	0	Entity trembling	NULL	Taho, joka vapisee	NULL
vapista	1	1	Thing trembling	NULL	Asia, joka vapisee	NULL
varastaa	1	0	Thief	NULL	Varas	NULL
varastaa	1	1	Thing stolen	NULL	Asia, joka varastetaan	NULL
varastaa	1	2	Stolen from	NULL	Taho tai paikka, jolta/josta varastetaan	NULL
varastella	1	0	Thief	NULL	Varas	NULL
varastella	1	1	Thing stolen	NULL	Asia, joka varastetaan	NULL
varastella	1	2	Stolen from	NULL	Taho tai paikka, jolta/josta varastetaan	NULL
varastoida	1	0	Entity who stores	NULL	Taho, joka säilyttää	NULL
varastoida	1	1	Thing stored	NULL	Asia, joka/jota säilytetään	NULL
